"10. 18:01:56","EXCLUSAO","Utilizador 'patricia_reis_83' excluído remoção def","👤 patricia_reis_83","INFO"
"AUTENTICACAO","2734","26.2%","18:01:56",""
"BASE_DADOS","2682","25.7%","18:01:56",""
"CAMARAS","2521","24.1%","18:01:56",""
"SENSORES","2508","24.0%","18:01:56",""
"1. 18:01:56","EVENTO","Gravação iniciada por movimento na Câmara_01.","WARNING",""
"2. 18:01:56","CRITICO","Perda de sinal de vídeo na Câmara_04.","CRITICAL",""
"3. 18:01:56","EVENTO","Gravação iniciada por movimento na Câmara_01.","INFO",""
"4. 18:01:56","EVENTO","Perda de sinal de vídeo na Câmara_04.","INFO",""
"5. 18:01:56","ERRO","Falha de armazenamento no DVR_02.","CRITICAL",""
"6. 18:01:56","EVENTO","Gravação iniciada por movimento na Câmara_01.","INFO",""
"7. 18:01:56","EVENTO","Perda de sinal de vídeo na Câmara_04.","INFO",""
"8. 18:01:56","EVENTO","Gravação iniciada por movimento na Câmara_01.","INFO",""
"9. 18:01:56","EVENTO","Gravação iniciada por movimento na Câmara_01.","INFO",""
"10. 18:01:56","CRITICO","Perda de sinal de vídeo na Câmara_04.","CRITICAL",""
"1. 18:01:56","EVENTO","Movimento detetado no Corredor B.","INFO",""
"2. 18:01:56","CRITICO","Temperatura da Sala de Servidores acima do normal.","CRITICAL",""
"3. 18:01:56","EVENTO","Porta Principal aberta.","INFO",""
"4. 18:01:56","EVENTO","Temperatura da Sala de Servidores acima do normal.","INFO",""
"5. 18:01:56","EVENTO","Temperatura da Sala de Servidores acima do normal.","INFO",""
"6. 18:01:56","EVENTO","Temperatura da Sala de Servidores acima do normal.","INFO",""
"7. 18:01:56","EVENTO","Sensor de fumos ativo.","WARNING",""
"8. 18:01:56","EVENTO","Sensor de fumos ativo.","INFO",""
"9. 18:01:56","EVENTO","Movimento detetado no Corredor B.","WARNING",""
"10. 18:01:56","EVENTO","Porta Principal aberta.","INFO",""
