"ID","Data/Hora","Status","Módulo","Observação","Utilizador"
"1","2026-07-11 21:13:17","ATENCAO","CAMARAS","Gravação iniciada por movimento na Câmara_01.","Desconhecido"
"2","2026-07-11 21:13:17","CRITICO","CAMARAS","Perda de sinal de vídeo na Câmara_04.","Desconhecido"
"3","2026-07-11 21:13:17","ATENCAO","SENSORES","Temperatura da Sala de Servidores acima do normal.","Desconhecido"
"4","2026-07-11 21:13:17","INFO","CAMARAS","Perda de sinal de vídeo na Câmara_04.","Desconhecido"
"5","2026-07-11 21:13:17","CRITICO","CAMARAS","Perda de sinal de vídeo na Câmara_04.","Desconhecido"
"6","2026-07-11 21:13:17","INFO","BASE_DADOS","Cópia de segurança (Backup) concluída pelo utilizador 'nuno_gomes'.","nuno_gomes"
"7","2026-07-11 21:13:17","ATENCAO","SENSORES","Porta Principal aberta.","Desconhecido"
"8","2026-07-11 21:13:17","INFO","AUTENTICACAO","Falha na palavra-passe pelo utilizador 'admin'.","admin"
"9","2026-07-11 21:13:17","INFO","AUTENTICACAO","Tentativa de brute-force bloqueada pelo utilizador 'nuno_gomes'.","nuno_gomes"
"10","2026-07-11 21:13:17","ATENCAO","CAMARAS","Falha de armazenamento no DVR_02.","Desconhecido"
"11","2026-07-11 21:13:17","INFO","SENSORES","Movimento detetado no Corredor B.","Desconhecido"
"12","2026-07-11 21:13:17","CRITICO","SENSORES","Movimento detetado no Corredor B.","Desconhecido"
"13","2026-07-11 21:13:17","CRITICO","SENSORES","Porta Principal aberta.","Desconhecido"
"14","2026-07-11 21:13:17","INFO","SENSORES","Sensor de fumos ativo.","Desconhecido"
"15","2026-07-11 21:13:17","INFO","SENSORES","Movimento detetado no Corredor B.","Desconhecido"
"16","2026-07-11 21:13:17","INFO","BASE_DADOS","Query executada com sucesso pelo utilizador 'ana_silva'.","ana_silva"
"17","2026-07-11 21:13:17","INFO","BASE_DADOS","Timeout na ligação pelo utilizador 'convidado_01'.","convidado_01"
"18","2026-07-11 21:13:17","CRITICO","AUTENTICACAO","Login efetuado com sucesso pelo utilizador 'convidado_01'.","convidado_01"
"19","2026-07-11 21:13:17","INFO","BASE_DADOS","Erro de integridade referencial pelo utilizador 'mauri'.","mauri"
"20","2026-07-11 21:13:17","INFO","AUTENTICACAO","Sessão expirada pelo utilizador 'admin'.","admin"
"21","2026-07-11 21:13:17","INFO","CAMARAS","Gravação iniciada por movimento na Câmara_01.","Desconhecido"
"22","2026-07-11 21:13:17","CRITICO","CAMARAS","Perda de sinal de vídeo na Câmara_04.","Desconhecido"
"23","2026-07-11 21:13:17","INFO","AUTENTICACAO","Sessão expirada pelo utilizador 'gestor_seguranca'.","gestor_seguranca"
"24","2026-07-11 21:13:17","CRITICO","SENSORES","Movimento detetado no Corredor B.","Desconhecido"
